"","...1","titles","description","key_category","stem","id","participation_keystems","policy_coh_keystems","democratic_keystems","reflex_adpt_keystems","max.col"
"1",1,"Planning for Climate Change in African Cities","Climate change poses a threat to economic growth and long-term prosperity of many countries around the world. Africa is not an exception, considering the actual and potential impacts of climate change and climate variability that will threaten its vulnerable sectors and human populations. African countries are projected to experience changing rainfall patterns, rising sea levels, and higher temperatures that will affect food security, agricultural production, water availability, and public health, among others. These climate change impacts and climate variability can further produce social and political problems, such as rural-urban migration and water resource disputes.   , Furthermore, the low levels of development in many African countries, as well as limited institutional, infrastructural, and technical capacities to respond successfully to climate change impacts and climate variability, can exacerbate the situation. In terms of contribution to greenhouse gas (GHG) emissions, although African countries are the lightest polluters, it has also become apparent that alternative energy sources can offset the increasing energy demand and dependence on biomass. Addressing climate change offers possibilities for low-carbon development. Moreover, there are promising mechanisms that can address both climate change actions and development goals simultaneously. 

At the city level, strengthening resilience, or the ability to respond to and absorb the effects of a hazardous event in a timely and efficient manner and to sustain this ability in the future, and adaptation; the process of adjusting to actual or expected climate change stimuli or their effects, should be at the forefront of planning.  Local governments have an important role to play through the provision of adequate infrastructure, regulation of land use, and other public services that are crucial for urban resilience. Mobilizing local governments, in collaboration with national governments, non-governmental organizations, and international organizations, among others, is also critical for an integrated multi-sectoral approach to climate change. 

The Course on Planning for Climate Change in African Cities provides the foundation for understanding cities  exposure and sensitivity to climate change, and how cities can manage these impacts in the face of growing uncertainty. It does so by introducing the basic concepts of urban resilience and adaptation, by using illustrative case studies in different African cities. Furthermore, this module provides lectures on the different approaches for climate change planning, whether ad hoc, strategic or mainstreaming; introduces the different steps in the planning cycle   from initial assessment to monitoring and evaluation; and presents the different decision support and assessment tools for prioritizing climate change actions. This course broadens the discussion on planning for climate change by engaging learners to apply their knowledge and practice their decision-making skills in a simulated exercise.

In line with development that minimizes the harm caused by climate change impacts, while maximizing the many human development opportunities presented by a more resilient future, we ask: what are the connections between urban risk and vulnerability? How is climate change and urban resilience conceptualized and applied in practice? Which policies and measures should be introduced to address climate change? Finally, how to choose among different measures that address climate change adaptation, urban resilience, and other development objectives? 

Course Objectives:
At the end of this course, learners should be able to:

 	Recognize the effects, impacts, and drivers of climate change in cities
 	Understand the drivers of urban risk and vulnerability in the context of climate change 
 	Distinguish the typologies, approaches, and tensions of climate change adaptation 
 	Explain the different approaches and steps in climate change planning 
 	Examine the decision support and assessment tools for climate change
 	Develop a climate change plan based on   city contexts","climate change poses threat economic growth long term prosperity many countries around world africa exception considering actual potential impacts climate change climate variability threaten vulnerable sectors human populations african countries projected experience changing rainfall patterns rising sea levels higher temperatures affect food security agricultural production water availability public health among others climate change impacts climate variability can produce social political problems rural urban migration water resource disputes furthermore low levels development many african countries well limited institutional infrastructural technical capacities respond successfully climate change impacts climate variability can exacerbate situation terms contribution greenhouse gas ghg emissions although african countries lightest polluters also become apparent alternative energy sources can offset increasing energy demand dependence biomass addressing climate change offers possibilities low carbon development moreover promising mechanisms can address climate change actions development goals simultaneously city level strengthening resilience ability respond absorb effects hazardous event timely efficient manner sustain ability future adaptation process adjusting actual expected climate change stimuli effects forefront planning local governments important role play provision adequate infrastructure regulation land use public services crucial urban resilience mobilizing local governments collaboration national governments non governmental organizations international organizations among others also critical integrated multi sectoral approach climate change course planning climate change african cities provides foundation understanding cities exposure sensitivity climate change cities can manage impacts face growing uncertainty introducing basic concepts urban resilience adaptation using illustrative case studies different african cities furthermore module provides lectures different approaches climate change planning whether ad hoc strategic mainstreaming introduces different steps planning cycle initial assessment monitoring evaluation presents different decision support assessment tools prioritizing climate change actions course broadens discussion planning climate change engaging learners apply knowledge practice decision making skills simulated exercise line development minimizes harm caused climate change impacts maximizing many human development opportunities presented resilient future ask connections urban risk vulnerability climate change urban resilience conceptualized applied practice policies measures introduced address climate change finally choose among different measures address climate change adaptation urban resilience development objectives course objectives end course learners able recognize effects impacts drivers climate change cities understand drivers urban risk vulnerability context climate change distinguish typologies approaches tensions climate change adaptation explain different approaches steps climate change planning examine decision support assessment tools climate change develop climate change plan based city contexts","climat chang pose threat econom growth long term prosper mani countri around world africa except consid actual potenti impact climat chang climat variabl threaten vulner sector human popul african countri project experi chang rainfal pattern rise sea level higher temperatur affect food secur agricultur product water avail public health among other climat chang impact climat variabl can produc social polit problem rural urban migrat water resourc disput furthermor low level develop mani african countri well limit institut infrastructur technic capac respond success climat chang impact climat variabl can exacerb situat term contribut greenhous gas ghg emiss although african countri lightest pollut also becom appar altern energi sourc can offset increas energi demand depend biomass address climat chang offer possibl low carbon develop moreov promis mechan can address climat chang action develop goal simultan citi level strengthen resili abil respond absorb effect hazard event time effici manner sustain abil futur adapt process adjust actual expect climat chang stimuli effect forefront plan local govern import role play provis adequ infrastructur regul land use public servic crucial urban resili mobil local govern collabor nation govern non government organ intern organ among other also critic integr multi sector approach climat chang cours plan climat chang african citi provid foundat understand citi exposur sensit climat chang citi can manag impact face grow uncertainti introduc basic concept urban resili adapt use illustr case studi differ african citi furthermor modul provid lectur differ approach climat chang plan whether ad hoc strateg mainstream introduc differ step plan cycl initi assess monitor evalu present differ decis support assess tool priorit climat chang action cours broaden discuss plan climat chang engag learner appli knowledg practic decis make skill simul exercis line develop minim harm caus climat chang impact maxim mani human develop opportun present resili futur ask connect urban risk vulner climat chang urban resili conceptu appli practic polici measur introduc address climat chang final choos among differ measur address climat chang adapt urban resili develop object cours object end cours learner abl recogn effect impact driver climat chang citi understand driver urban risk vulner context climat chang distinguish typolog approach tension climat chang adapt explain differ approach step climat chang plan examin decis support assess tool climat chang develop climat chang plan base citi context",1,12,15,20,21,"reflex_adpt_keystems"
"2",2,"Principles of Sustainable Finance","Finance is widely seen as an obstacle to a better world. Principles of Sustainable Finance explains how the financial sector can be mobilized to counter this. Using finance as a means to achieve social goals we can divert the planet and its economy from its current path to a world that is sustainable for all.  , Throughout this course, you will learn about the UN Sustainable Development Goals, how social and environmental factors should not be regarded as externalities, you will learn more about sustainable banking and asset management, about effective engagement, sustainable scenario analysis and long-term value creation. 

At the end of this course you will understand how sustainable finance can be used as a tool to steer the sustainability transition.","finance widely seen obstacle better world principles sustainable finance explains financial sector can mobilized counter using finance means achieve social goals can divert planet economy current path world sustainable throughout course learn un sustainable development goals social environmental factors regarded externalities learn sustainable banking asset management effective engagement sustainable scenario analysis long term value creation end course understand sustainable finance can used tool steer sustainability transition","financ wide seen obstacl better world principl sustain financ explain financi sector can mobil counter use financ mean achiev social goal can divert planet economi current path world sustain throughout cours learn un sustain develop goal social environment factor regard extern learn sustain bank asset manag effect engag sustain scenario analysi long term valu creation end cours understand sustain financ can use tool steer sustain transit",2,1,0,1,2,"reflex_adpt_keystems"
"3",3,"Greening the Economy: Lessons from Scandinavia","How can we live a good life on one planet with over seven billion people? , This course will explore greening the economy on four levels   individual, business, city, and nation. We will look at the relationships between these levels and give many practical examples of the complexities and solutions across the levels. Scandinavia, a pioneering place advancing sustainability and combating climate change, is a unique starting point for learning about greening the economy. We will learn from many initiatives attempted in Scandinavia since the 1970s, which are all potentially helpful and useful for other countries and contexts.

The International Institute for Industrial Environmental Economics (IIIEE) at Lund University is an international centre of excellence on strategies for sustainable solutions. The IIIEE is ideally suited to understand and explain the interdisciplinary issues in green economies utilising the diverse disciplinary backgrounds of its international staff. The IIIEE has been researching and teaching on sustainability and greener economies since the 1990s and it has extensive international networks connecting with a variety of organizations.","can live good life one planet seven billion people course explore greening economy four levels individual business city nation look relationships levels give many practical examples complexities solutions across levels scandinavia pioneering place advancing sustainability combating climate change unique starting point learning greening economy learn many initiatives attempted scandinavia since 1970s potentially helpful useful countries contexts international institute industrial environmental economics iiiee lund university international centre excellence strategies sustainable solutions iiiee ideally suited understand explain interdisciplinary issues green economies utilising diverse disciplinary backgrounds international staff iiiee researching teaching sustainability greener economies since 1990s extensive international networks connecting variety organizations","can live good life one planet seven billion peopl cours explor green economi four level individu busi citi nation look relationship level give mani practic exampl complex solut across level scandinavia pioneer place advanc sustain combat climat chang uniqu start point learn green economi learn mani initi attempt scandinavia sinc 1970s potenti help use countri context intern institut industri environment econom iiiee lund univers intern centr excel strategi sustain solut iiiee ideal suit understand explain interdisciplinari issu green economi utilis divers disciplinari background intern staff iiiee research teach sustain greener economi sinc 1990s extens intern network connect varieti organ",3,3,11,2,0,"policy_coh_keystems"
"4",4,"Introduction to Environmental Law and Policy","Environmental law may be the one institution standing between us and planetary exhaustion. It is also an institution that needs to be reconciled with human liberty and economic aspirations. This course considers these issues and provides a tour though existing legal regimes governing pollution, water law, endangered species, toxic substances, environmental impact analyses, and environmental risk., Note: The Environmental Law & Policy Course will close for new learner enrollment on February 22, 2019. Learners who have already enrolled will continue to see it on their Coursera Dashboard as long as they remain enrolled in the course. If you are currently enrolled in this course, please see the announcement sent on February 19, 2019, for additional details.","environmental law may one institution standing us planetary exhaustion also institution needs reconciled human liberty economic aspirations course considers issues provides tour though existing legal regimes governing pollution water law endangered species toxic substances environmental impact analyses environmental risk note environmental law policy course close new learner enrollment february 22 2019 learners already enrolled continue see coursera dashboard long remain enrolled course currently enrolled course please see announcement sent february 19 2019 additional details","environment law may one institut stand us planetari exhaust also institut need reconcil human liberti econom aspir cours consid issu provid tour though exist legal regim govern pollut water law endang speci toxic substanc environment impact analys environment risk note environment law polici cours close new learner enrol februari 22 2019 learner alreadi enrol continu see coursera dashboard long remain enrol cours current enrol cours pleas see announc sent februari 19 2019 addit detail",4,0,4,8,1,"democratic_keystems"
"5",5,"Climate Change Mitigation in Developing Countries","This course challenges you to consider how one might lift societies out of poverty while also mitigating greenhouse gas emissions. We explore the inherent complexity of developing country governments wanting to grow their economies in a climate friendly way. You will be introduced to an approach with which to address this challenge. The approach consists of a facilitated process whereby academic researchers and high-level influential actors within society co-produce knowledge. You will track this process in four Latin American countries - Brazil, Chile, Colombia, Peru, and South Africa. You will hear from various professionals about their contexts and the different challenges and opportunities the process includes., This course will cover topics such as facilitation process techniques, energy modeling, scenario building, innovation and policy making. You will have the opportunity to respond to these topics with ideas and reflection from your own context. Whether you are a climate change practitioner, work in development or are simply curious about how climate mitigation is understood, this course will give you insights into the complexity of how countries from the South pursue development goals while addressing climate mitigation.

The course is free to enroll and take. You will be offered the option of purchasing a certificate of completion, which you become eligible for if you successfully complete the course requirements.  This can be an excellent way of staying motivated!  Financial Aid is also available.","course challenges consider one might lift societies poverty also mitigating greenhouse gas emissions explore inherent complexity developing country governments wanting grow economies climate friendly way introduced approach address challenge approach consists facilitated process whereby academic researchers high level influential actors within society co produce knowledge track process four latin american countries brazil chile colombia peru south africa hear various professionals contexts different challenges opportunities process includes course cover topics facilitation process techniques energy modeling scenario building innovation policy making opportunity respond topics ideas reflection context whether climate change practitioner work development simply curious climate mitigation understood course give insights complexity countries south pursue development goals addressing climate mitigation course free enroll take offered option purchasing certificate completion become eligible successfully complete course requirements can excellent way staying motivated financial aid also available","cours challeng consid one might lift societi poverti also mitig greenhous gas emiss explor inher complex develop countri govern want grow economi climat friend way introduc approach address challeng approach consist facilit process wherebi academ research high level influenti actor within societi co produc knowledg track process four latin american countri brazil chile colombia peru south africa hear various profession context differ challeng opportun process includ cours cover topic facilit process techniqu energi model scenario build innov polici make opportun respond topic idea reflect context whether climat chang practition work develop simpli curious climat mitig understood cours give insight complex countri south pursu develop goal address climat mitig cours free enrol take offer option purchas certif complet becom elig success complet cours requir can excel way stay motiv financi aid also avail",5,10,4,11,2,"democratic_keystems"
"6",6,"Climate Change and Water in Mountains: A Global Concern","What is climate change ? How are mountain regions affected by the evolution of water resources and their uses ? What kind of risks need to be considered ? , Mountains are recognized as particularly sensitive physical environments where intense and rapid changes have in the past, and may increasingly in the future, place pressure on their resource base. 

In this context, a team of roughly 100 experts worked from 2008 to 2013 for the European ACQWA project (www.acqwa.ch) which was coordinated by the University of Geneva. The primary objectives of the project were to assess the impacts of a changing climate on the quantity and quality of water originating in mountain regions, particularly where snow- and ice melt represent a large, sometimes the largest, streamflow component. A further objective of the project was to determine the potential disruptions to water-dependent economic activities related to the climate impacts on hydrological systems, and to propose a portfolio of possible adaptation strategies.

This particular MOOC is inspired by the ACQWA Project and offers a better understanding of climate change, its impacts on the quality and quantity of water in mountain regions and the risks related to changing water resources. From an interdisciplinary perspective, the participation of twenty-five instructors from five different countries (Switzerland, England, South Korea, India and Nepal) and fourteen institutions (UNIGE, RTS, UNIFR, UZH, ETHZ, Meteodat GmbH, WGMS, Imperial College London, Agroscope, R publique et Canton de Gen ve, Yonsei University, IHCAP, ICIMOD, SDC, FOEN) highlights the diversity of both theoretical and practical viewpoints related to these issues.

By the end of this course, you will be able :

- to define the general concept of climate change in mountain regions
- to understand the concepts associated with climate change such as adaptation and water governance strategies
- to consider the impacts of climate change on water resources in mountain regions
- to identify the impacts of climate change on hydropower, agriculture, aquatic ecosystems and health 
- to enumerate risks that can occur in mountain areas and lead to disruptions in water availability and use.

Your acquired knowledge will be evaluated through multiple-choice quizzes at the end of each unit of the course.

This MOOC on  Climate Change and Water in Mountain Regions : A Global Concern  was initiated and financed by the University of Geneva, through its Institute for Environmental Sciences. 

We look forward to you joining us !","climate change mountain regions affected evolution water resources uses kind risks need considered mountains recognized particularly sensitive physical environments intense rapid changes past may increasingly future place pressure resource base context team roughly 100 experts worked 2008 2013 european acqwa project www acqwa ch coordinated university geneva primary objectives project assess impacts changing climate quantity quality water originating mountain regions particularly snow ice melt represent large sometimes largest streamflow component objective project determine potential disruptions water dependent economic activities related climate impacts hydrological systems propose portfolio possible adaptation strategies particular mooc inspired acqwa project offers better understanding climate change impacts quality quantity water mountain regions risks related changing water resources interdisciplinary perspective participation twenty five instructors five different countries switzerland england south korea india nepal fourteen institutions unige rts unifr uzh ethz meteodat gmbh wgms imperial college london agroscope r publique et canton de gen ve yonsei university ihcap icimod sdc foen highlights diversity theoretical practical viewpoints related issues end course able define general concept climate change mountain regions understand concepts associated climate change adaptation water governance strategies consider impacts climate change water resources mountain regions identify impacts climate change hydropower agriculture aquatic ecosystems health enumerate risks can occur mountain areas lead disruptions water availability use acquired knowledge evaluated multiple choice quizzes end unit course mooc climate change water mountain regions global concern initiated financed university geneva institute environmental sciences look forward joining us","climat chang mountain region affect evolut water resourc use kind risk need consid mountain recogn particular sensit physic environ intens rapid chang past may increas futur place pressur resourc base context team rough 100 expert work 2008 2013 european acqwa project www acqwa ch coordin univers geneva primari object project assess impact chang climat quantiti qualiti water origin mountain region particular snow ice melt repres larg sometim largest streamflow compon object project determin potenti disrupt water depend econom activ relat climat impact hydrolog system propos portfolio possibl adapt strategi particular mooc inspir acqwa project offer better understand climat chang impact qualiti quantiti water mountain region risk relat chang water resourc interdisciplinari perspect particip twenti five instructor five differ countri switzerland england south korea india nepal fourteen institut unig rts unifr uzh ethz meteodat gmbh wgms imperi colleg london agroscop r publiqu et canton de gen ve yonsei univers ihcap icimod sdc foen highlight divers theoret practic viewpoint relat issu end cours abl defin general concept climat chang mountain region understand concept associ climat chang adapt water govern strategi consid impact climat chang water resourc mountain region identifi impact climat chang hydropow agricultur aquat ecosystem health enumer risk can occur mountain area lead disrupt water avail use acquir knowledg evalu multipl choic quizz end unit cours mooc climat chang water mountain region global concern initi financ univers geneva institut environment scienc look forward join us",6,9,9,7,9,"participation_keystems"
"7",7,"Our Earth: Its Climate, History, and Processes","Develop a greater appreciation for how the air, water, land, and life formed and have interacted over the last 4.5 billion years.","develop greater appreciation air water land life formed interacted last 4 5 billion years","develop greater appreci air water land life form interact last 4 5 billion year",7,1,0,0,0,"participation_keystems"
"8",8,"Ecology: Ecosystem Dynamics and Conservation","This course is an introduction to ecology and ecosystem dynamics using a systems thinking lens. Through a case study on Mozambique's Gorongosa National Park, learners will explore how scientists study ecosystems, and investigate the complex array of factors that inform management efforts. At the end of the course, learners will be able to grapple with real-world conservation questions, such as whether an ecosystem can recover from anthropogenic disruption and what role humans can, and should, play in that recovery.","course introduction ecology ecosystem dynamics using systems thinking lens case study mozambique s gorongosa national park learners explore scientists study ecosystems investigate complex array factors inform management efforts end course learners able grapple real world conservation questions whether ecosystem can recover anthropogenic disruption role humans can play recovery","cours introduct ecolog ecosystem dynam use system think len case studi mozambiqu s gorongosa nation park learner explor scientist studi ecosystem investig complex array factor inform manag effort end cours learner abl grappl real world conserv question whether ecosystem can recov anthropogen disrupt role human can play recoveri",8,0,0,1,2,"reflex_adpt_keystems"
"9",9,"Introduction to the Arctic: Climate","The University of Alberta, the University of Tromso and the University of the Arctic invite you to explore this four week course that examines the environment and climate of the circumpolar North. This course is the result of an international collaboration and provides you with an insight into our planet's North. Following an overview of regional geography, we will focus on the cryosphere (ice), as well as the atmosphere and ocean of the region. We will learn why the Arctic is cold and ice covered, and how that impacts its climate and ecosystems. We will also consider how the Arctic is connected to the rest of the world. Finally, we will examine present day climate change, the processes driving it, and evidence for it in the Arctic, before looking at the implications in the rapidly evolving North. Watch a preview of the course here: https://uofa.ualberta.ca/courses/arctic-climate","university alberta university tromso university arctic invite explore four week course examines environment climate circumpolar north course result international collaboration provides insight planet s north following overview regional geography focus cryosphere ice well atmosphere ocean region learn arctic cold ice covered impacts climate ecosystems also consider arctic connected rest world finally examine present day climate change processes driving evidence arctic looking implications rapidly evolving north watch preview course https uofa ualberta ca courses arctic climate","univers alberta univers tromso univers arctic invit explor four week cours examin environ climat circumpolar north cours result intern collabor provid insight planet s north follow overview region geographi focus cryospher ice well atmospher ocean region learn arctic cold ice cover impact climat ecosystem also consid arctic connect rest world final examin present day climat chang process drive evid arctic look implic rapid evolv north watch preview cours https uofa ualberta ca cours arctic climat",9,2,2,1,3,"reflex_adpt_keystems"
"10",10,"Frozen in the Ice: Exploring the Arctic","Why would hundreds of scientists from around the world intentionally freeze a ship in Arctic sea ice for an entire year, braving subzero temperatures and months of polar darkness? This may sound like a fictional adventure movie plot, but from September 2019 through October 2020, the MOSAiC (Multidisciplinary drifting Observatory for the Study of Arctic Climate) Arctic research expedition did just this. , In this course, you ll hear directly from MOSAiC scientists and Arctic experts as they describe why this expedition is so key for increasing our understanding of the Arctic and global climate systems and what kinds of data they will be collecting during MOSAiC on the ice, under the sea, and in the air. The course kicks off with content around Arctic geography, climate, and exploration history, and then walks learners through the basics of the components of the Arctic system: atmosphere, ocean, sea ice and ecosystems. You will also learn how the data collected during MOSAiC will be used to improve climate model projections. Finally, we will wrap up the course by exploring challenges the new Arctic faces, including how indigenous peoples in the Arctic are being impacted in different ways by a changing Arctic environment.","hundreds scientists around world intentionally freeze ship arctic sea ice entire year braving subzero temperatures months polar darkness may sound like fictional adventure movie plot september 2019 october 2020 mosaic multidisciplinary drifting observatory study arctic climate arctic research expedition just course ll hear directly mosaic scientists arctic experts describe expedition key increasing understanding arctic global climate systems kinds data collecting mosaic ice sea air course kicks content around arctic geography climate exploration history walks learners basics components arctic system atmosphere ocean sea ice ecosystems also learn data collected mosaic used improve climate model projections finally wrap course exploring challenges new arctic faces including indigenous peoples arctic impacted different ways changing arctic environment","hundr scientist around world intent freez ship arctic sea ice entir year brave subzero temperatur month polar dark may sound like fiction adventur movi plot septemb 2019 octob 2020 mosaic multidisciplinari drift observatori studi arctic climat arctic research expedit just cours ll hear direct mosaic scientist arctic expert describ expedit key increas understand arctic global climat system kind data collect mosaic ice sea air cours kick content around arctic geographi climat explor histori walk learner basic compon arctic system atmospher ocean sea ice ecosystem also learn data collect mosaic use improv climat model project final wrap cours explor challeng new arctic face includ indigen peopl arctic impact differ way chang arctic environ",10,3,0,3,5,"reflex_adpt_keystems"
